Datetime,WBOU,BRON,BXVNST,QUEE,SUFF,WANT,QNCORO,SOUT,BKBROW,MHLSQR,BEAC,MHMHIL,QNDKIL,BKNYRD,HFAL,QNASTO,STAT,QNSOZO,BKMAPL,DOVE,BREW,QNTLCC,MANH,BKLN,QNHBEA,QNMASP
6/2/2023 15:00,,,58.9344419,,,,,,,,,46.82956034,,48.17529912,,,,24.80471422,,,50.690122,,,,40.85732372,
6/2/2023 16:00,,,67.34114824,,,,,,,,,58.9936224,,54.93659588,,,,36.57225162,,,56.18204541,,,,59.69977105,
6/2/2023 17:00,,,73.29656536,,,,,,,,,65.94523525,,69.35083424,,,,46.87218213,,,59.55374013,,,,64.60415854,
6/2/2023 18:00,,,75.50864174,,,,,,,,,60.95385413,,81.3453682,,,,56.80757539,,,60.99382201,,,,61.78975975,
6/2/2023 19:00,,,75.50824325,,,,,,,,,64.64177694,,85.44547365,,,,52.26179219,,,56.82870841,,,,44.46320464,
6/2/2023 20:00,,,70.79841867,,,,,,,,,69.84234336,,78.53351948,,,,41.21028789,,,52.65054636,,,,47.83154757,
6/2/2023 21:00,,,65.76172553,,,,,,,,,65.69088865,,76.29820237,,,,36.50964928,,,33.50945973,,,,39.91486347,
6/2/2023 22:00,,,52.00304701,,,,,,,,,45.74179183,,58.40786646,,,,30.26750727,,,35.33599397,,,,39.80132426,
6/2/2023 23:00,,,40.77797104,,,,,,,,,10.13936726,,37.74647999,,,,32.9112671,,,29.23048167,,,,40.29549658,
6/3/2023 0:00,,,33.27816739,,,,,,,,,7.344806852,,22.64117536,,,,28.96440478,,,24.15861344,,,,33.14372229,
6/3/2023 1:00,,,16.58405892,,,,,,,,,-5.231548556,,26.75969504,,,,18.79684402,,,26.61630115,,,,26.80161504,
6/3/2023 2:00,,,30.02082223,,,,,,,,,5.962468897,,14.85198896,,,,20.13515602,,,20.6707201,,,,25.30054712,
6/3/2023 3:00,,,21.70399901,,,,,,,,,3.336187446,,10.98959834,,,,14.03100927,,,23.77595054,,,,21.00857536,
6/3/2023 4:00,,,20.15535317,,,,,,,,,2.560151739,,5.547497723,,,,7.702917376,,,25.79955505,,,,13.96455809,
6/3/2023 5:00,,,32.61197362,,,,,,,,,17.65263417,,1.593721376,,,,19.2439804,,,29.33287279,,,,11.69270828,
6/3/2023 6:00,,,27.25254968,,,,,,,,,26.59295402,,10.13196676,,,,19.0927032,,,23.61459646,,,,13.2883981,
6/3/2023 7:00,,,24.85196984,,,,,,,,,21.13940163,,11.6297596,,,,16.52143088,,,25.26912739,,,,8.389245095,
6/3/2023 8:00,,,24.09321532,,,,,,,,,27.15916531,,12.40675552,,,,11.32697184,,,25.04157988,,,,8.07704932,
