Datetime,WBOU,BRON,BXVNST,QUEE,SUFF,WANT,QNCORO,SOUT,BKBROW,MHLSQR,BEAC,MHMHIL,QNDKIL,BKNYRD,HFAL,QNASTO,QNSOZO,BKMAPL,DOVE,BREW,QNTLCC,MANH,BKLN,QNMASP
2023-06-01 00:00:00,,,17.566096094993675,,,,,,,,,16.69223797210416,,16.969114789164813,,,23.94344318359526,,,11.81662877300495,,,,
2023-06-01 01:00:00,,,20.663195253715184,,,,,,,,,17.850916954608547,,19.40126272965747,,,20.22198084529132,,,14.036544238897807,,,,
2023-06-01 02:00:00,,,20.758379311725086,,,,,,,,,20.497026657427384,,18.44796965603607,,,20.016389973786044,,,16.179402768090124,,,,
2023-06-01 03:00:00,,,21.53352697943593,,,,,,,,,19.706517262638545,,18.447424730999344,,,19.627567329732955,,,20.244407147576904,,,,
2023-06-01 04:00:00,,,20.431211495505178,,,,,,,,,20.36148839710805,,18.89949481453368,,,19.965591167764515,,,21.6485249253856,,,,
2023-06-01 05:00:00,,,17.86978132624333,,,,,,,,,20.34465559840563,,18.017557605044097,,,19.463734770393952,,,21.615675062443025,,,,
2023-06-01 06:00:00,,,20.830751701866525,,,,,,,,,18.99408383985456,,18.968701476713136,,,19.589012841681885,,,24.160101747589472,,,,
2023-06-01 07:00:00,,,21.580229871905846,,,,,,,,,19.36999595079249,,20.245159483026665,,,19.649275568334424,,,,,,,
2023-06-01 08:00:00,,,22.209308158528025,,,,,,,,,20.01030993315588,,20.67756140755568,,,19.48715043997924,,,,,,,
2023-06-01 09:00:00,,,23.58933031257945,,,,,,,,,19.883774906796663,,20.856098002937472,,,22.292645034293447,,,22.20195635779165,,,,
2023-06-01 10:00:00,,,21.67849848723269,,,,,,,,,21.950787292754725,,21.204257777773844,,,22.60842289038097,,,20.33804074309341,,,,
2023-06-01 11:00:00,,,23.53880582280498,,,,,,,,,25.55437388572069,,22.233726356148168,,,25.9262744692842,,,16.49796257667346,,,,
2023-06-01 12:00:00,,,23.85055919010456,,,,,,,,,23.105961466033577,,22.478610746305904,,,21.370442219259708,,,15.31951931387528,,,,
2023-06-01 13:00:00,,,23.99898069195377,,,,,,,,,18.409665100282044,,15.397652970329183,,,21.470036321325992,,,14.490572722283542,,,,
2023-06-01 14:00:00,,,22.63648414076411,,,,,,,,,21.461018731809567,,18.71756892442569,,,21.38098747277717,,,13.82470606021083,,,,
2023-06-01 15:00:00,,,20.881402950502736,,,,,,,,,22.489822543670947,,19.211501736786875,,,12.36945487064009,,,,,,,
2023-06-01 16:00:00,,,18.840467422820147,,,,,,,,,20.14253524495662,,19.164130971734917,,,11.826265632881944,,,12.22133706329935,,,,
2023-06-01 17:00:00,,,18.778949729660702,,,,,,,,,20.84516556100864,,17.431544833558,,,11.760120631423156,,,11.501624899703526,,,,
2023-06-01 18:00:00,,,19.741952684316026,,,,,,,,,20.23795727140592,,21.2403287691051,,,11.684653164598677,,,11.72093364153606,,,,
2023-06-01 19:00:00,,,19.771609243221384,,,,,,,,,19.502278481797305,,19.040894925424745,,,10.58044165294778,,,12.045375500836464,,,,
2023-06-01 20:00:00,,,16.652620139310017,,,,,,,,,15.544208710922472,,15.070690757715312,,,9.06054776785714,,,12.45025657699573,,,,
2023-06-01 21:00:00,,,13.422862082533486,,,,,,,,,14.168673608744118,,13.56211740893256,,,9.020881421947712,,,13.0207866968053,,,,
2023-06-01 22:00:00,,,11.948764949191812,,,,,,,,,14.547601026017649,,12.936529462469778,,,9.275506752395586,,,13.313627889089329,,,,
2023-06-01 23:00:00,,,11.621692330872785,,,,,,,,,12.717361734358178,,11.76174425349686,,,8.94011520204009,,,13.628618079642834,,,,
2023-06-02 00:00:00,,,11.047630268698732,,,,,,,,,11.715884136043869,,11.092447518047308,,,8.639182639084858,,,14.173432166617342,,,,
2023-06-02 01:00:00,,,9.041898768212713,,,,,,,,,11.68856582409961,,10.268614364639951,,,9.150027533501522,,,15.0583723348343,,,,
2023-06-02 02:00:00,,,9.235951183541632,,,,,,,,,11.201531494498628,,9.533328436275044,,,8.232066459621109,,,16.217311083715153,,,,
2023-06-02 03:00:00,,,9.632443729595424,,,,,,,,,11.43855034259662,,10.151016354915804,,,8.494580132615974,,,16.452439781852256,,,,
2023-06-02 04:00:00,,,9.871526396053447,,,,,,,,,11.123011148971695,,10.728975663936769,,,8.62420112647288,,,17.022448263910466,,,,
2023-06-02 05:00:00,,,10.151867099336766,,,,,,,,,12.761510462344656,,10.625268151887676,,,8.419020577711406,,,,,,,
2023-06-02 06:00:00,,,11.06654053747685,,,,,,,,,14.550707223113546,,11.107221177610077,,,9.67133238296448,,,,,,,
2023-06-02 07:00:00,,,11.254661871013576,,,,,,,,,13.94894691895345,,13.729468639777794,,,10.329867471713404,,,,,,,
2023-06-02 08:00:00,,,11.10219206029032,,,,,,,,,15.193373747467811,,15.353443733417286,,,11.506869498879416,,,,,,,
2023-06-02 09:00:00,,,13.85183820182156,,,,,,,,,18.02568099775521,,17.79168331308587,,,13.258728597253672,,,,,,,
2023-06-02 10:00:00,,,16.885098379275966,,,,,,,,,21.20788561804823,,21.205783177566083,,,14.44916158262501,,,18.194370132866432,,,,
2023-06-02 11:00:00,,,21.87421076465636,,,,,,,,,24.37328206083529,,23.11616646242895,,,17.08721117791636,,,14.79542501250212,,,,
2023-06-02 12:00:00,,,21.55842436067715,,,,,,,,,26.397844648408388,,24.02505890862947,,,18.94597569410719,,,14.286169970980463,,,,
