Datetime,WBOU,BRON,BXVNST,QUEE,SUFF,WANT,QNCORO,SOUT,BKBROW,MHLSQR,BEAC,MHMHIL,QNDKIL,BKNYRD,HFAL,QNASTO,STAT,QNSOZO,BKMAPL,DOVE,BREW,QNTLCC,MANH,BKLN,QNHBEA,QNMASP
2023-06-01 00:00:00,,,344.8005770535772,,,,,,,,,291.92615471485993,,315.587516231572,,,,394.9515617050618,,,278.662916817526,,,,225.48534755906576,
2023-06-01 01:00:00,,,389.2852882507699,,,,,,,,,278.6398922105085,,327.30932922826094,,,,304.92031376556304,,,287.22402028544604,,,,227.58551966397172,
2023-06-01 02:00:00,,,379.72922757928825,,,,,,,,,318.93843069605504,,323.3868036691672,,,,355.4339875196416,,,289.97800843860534,,,,290.29928347993496,
2023-06-01 03:00:00,,,394.1230181013778,,,,,,,,,312.05360902609584,,365.6108747805741,,,,372.7347707708541,,,302.4653983704427,,,,264.90513189589024,
2023-06-01 04:00:00,,,414.5292439427082,,,,,,,,,328.4700722866296,,417.827085615491,,,,409.9513567417557,,,286.8633184998968,,,,243.6418936981148,
2023-06-01 05:00:00,,,347.4387627054016,,,,,,,,,351.1227093508035,,431.5649184066755,,,,386.0070023838571,,,257.1339988348975,,,,376.620097452413,
2023-06-01 06:00:00,,,403.4552208792874,,,,,,,,,359.4605552348017,,444.0457479297491,,,,403.6591230644289,,,244.51326151120037,,,,455.8001339934908,
2023-06-01 07:00:00,,,419.4953406359297,,,,,,,,,370.8890849869018,,444.020320412144,,,,409.1748720377536,,,232.34002758090676,,,,441.5565814149294,
2023-06-01 08:00:00,,,409.423698698214,,,,,,,,,359.681913071939,,493.4441788067899,,,,397.8523928415625,,,226.9207138519107,,,,395.42798202993873,
2023-06-01 09:00:00,,,556.4247750039136,,,,,,,,,370.8992902723402,,420.3681656087304,,,,423.5149080957799,,,228.50245368536747,,,,400.8594989488731,
2023-06-01 10:00:00,,,455.5217861945007,,,,,,,,,402.52023738840046,,443.8868709574832,,,,554.9081532366606,,,274.4558985564459,,,,478.0390157894367,
2023-06-01 11:00:00,,,568.0476839859006,,,,,,,,,449.239444158932,,480.80444854701057,,,,537.7427616903144,,,347.9608589489926,,,,530.9198560410762,
2023-06-01 12:00:00,,,538.2819633980462,,,,,,,,,435.113693877032,,478.13470788261816,,,,498.6205487287984,,,288.743503400157,,,,460.30501244267055,
2023-06-01 13:00:00,,,465.3931085243471,,,,,,,,,378.1822704074604,,334.5919096144292,,,,490.4696643552493,,,164.32478461136995,,,,379.5637528082487,
2023-06-01 14:00:00,,,319.185551575811,,,,,,,,,383.4639708810721,,338.63184343264913,,,,406.7210543667792,,,137.83702174050634,,,,323.6755948462801,
2023-06-01 15:00:00,,,289.1172726361798,,,,,,,,,380.32252921475344,,346.85558347900053,,,,255.79722129897715,,,168.98967122196854,,,,240.12830937014044,
2023-06-01 16:00:00,,,198.88328645625265,,,,,,,,,379.3083435455652,,356.2060846763477,,,,249.0478573833975,,,127.60681785671,,,,243.85685761488105,
2023-06-01 17:00:00,,,203.47748275386692,,,,,,,,,401.5522669287407,,312.9216488694483,,,,255.62423743661907,,,124.27194857121412,,,,246.09783358075373,
2023-06-01 18:00:00,,,256.72422370600634,,,,,,,,,346.9698875207923,,346.1486160808552,,,,233.3731842155598,,,196.50681952992613,,,,239.9287861110977,
2023-06-01 19:00:00,,,275.56275209671105,,,,,,,,,344.42804211819004,,298.112741158389,,,,228.8332148450868,,,204.2793453466433,,,,238.65573645710103,
2023-06-01 20:00:00,,,293.2538097198779,,,,,,,,,321.5307872242937,,281.9972014159393,,,,261.9087044709396,,,228.22876151022365,,,,229.5135905090568,
2023-06-01 21:00:00,,,381.5780091141394,,,,,,,,,338.15237845988673,,275.8962256972196,,,,281.3663364671329,,,295.38948537142056,,,,242.59997766180803,
2023-06-01 22:00:00,,,407.1468774406123,,,,,,,,,323.0859146306272,,309.05513176012744,,,,328.643456499346,,,362.4972134832941,,,,237.9941962057867,
2023-06-01 23:00:00,,,393.4232479999247,,,,,,,,,304.8900620859374,,306.3232829698176,,,,362.04018050501946,,,386.6402515305769,,,,222.9515965374408,
2023-06-02 00:00:00,,,361.8777796721189,,,,,,,,,301.0687304058801,,339.58830595929504,,,,358.1949474327833,,,380.16437363099817,,,,217.77928928438905,
2023-06-02 01:00:00,,,320.6150816396233,,,,,,,,,290.40525160279844,,341.0251180041085,,,,349.7895622380628,,,376.8528942177976,,,,211.83725782064835,
2023-06-02 02:00:00,,,322.89380229544616,,,,,,,,,313.9808690053461,,351.58659863967955,,,,320.8994966871188,,,393.63909910413815,,,,203.8055180141173,
2023-06-02 03:00:00,,,342.12721371232084,,,,,,,,,327.25292003180857,,387.9249729296429,,,,288.72790486655776,,,382.9832253078955,,,,206.6254520354881,
2023-06-02 04:00:00,,,381.68358015742206,,,,,,,,,338.860771651592,,410.4196482735763,,,,268.5643426522764,,,353.65061712249974,,,,189.258124321574,
2023-06-02 05:00:00,,,401.7197939232871,,,,,,,,,362.9061858151943,,433.1352494395427,,,,246.5208668748977,,,340.31242143234806,,,,191.443566272474,
2023-06-02 06:00:00,,,492.8082860600214,,,,,,,,,369.8698892241428,,314.1122162765979,,,,274.03073100205347,,,327.859974016495,,,,204.4041529347633,
2023-06-02 07:00:00,,,454.2450115953012,,,,,,,,,313.1564519439245,,342.56920877053733,,,,254.56581657099588,,,318.91910922228493,,,,194.58652684098652,
