Datetime,BKBROW,QNMASP,BXVNST,MHCHEL,QNCORO,BKMAPL,QNDKIL,BEAC,MHMHIL,BKNYRD,HFAL,SOME,QNSOZO,REDH,QNASTO,DOVE,QNLICI,BREW,BKLN,QNHBEA
6/2/2023 0:00,-0.588885518,3.1558777,-3.47639898,485.3220164,-4.803773558,-1.366824405,-2.476683536,,7.831595508,-1.205782745,,-0.353684513,-1.120520599,,0.276209899,,-2.997412338,-8.919430094,,-3.525196479
6/2/2023 1:00,-1.694930499,2.38772629,-3.524614338,475.5958662,-4.758447192,-1.983085054,-2.405620673,,9.215589296,-2.339249949,,-2.235054522,0.340932905,,-0.937203732,,-3.951762933,-9.483239086,,-4.380007017
6/2/2023 2:00,-1.58658931,1.497508933,-3.011579797,425.4029649,-6.543116514,-2.16114913,-1.503284784,,2.576771137,-1.515546797,,-3.49690519,-2.475364816,,-0.914842512,,-3.626529303,-9.840022032,,-4.839835032
6/2/2023 3:00,-1.498160776,1.382644226,-3.361775777,383.0740346,-5.687243449,-1.862103773,-2.28969484,,1.348306119,-0.765009669,,-4.921991255,-2.553633485,,-0.695252031,,-2.589885276,-8.749796747,,-5.225781609
6/2/2023 4:00,-1.603449992,1.304793885,-3.398963026,401.9290888,-5.114786775,-1.80472122,-1.130264273,,0.490808577,3.447719974,,-6.124888818,-1.186294814,,-0.22051267,,-1.842131977,-8.233677215,,-4.820466094
6/2/2023 5:00,-1.634185128,1.808804817,0.79974719,433.3170515,-4.614873785,-0.891315689,1.304830167,,7.455331691,5.078381053,,-5.727663866,-1.888023721,,1.497791183,,0.157679797,-7.74165751,,-4.743620635
6/2/2023 6:00,-0.283442333,4.872780726,11.58107223,416.0298778,-4.390476136,-0.39168071,9.42927608,,16.98954435,3.766526257,,-4.926582401,-2.190030745,,4.102490648,,10.91468174,-6.742508286,,-5.298741422
6/2/2023 7:00,1.109802409,5.452248123,16.84409898,411.49002,-2.945014558,-0.141467815,19.26326451,,20.92436457,12.61580445,,-5.328580835,-2.083712246,,12.15862162,,30.23383971,-5.893978657,,-5.189361733
6/2/2023 8:00,6.113606908,8.469792096,19.31988191,494.1595733,3.190550059,2.609494703,47.57050808,,16.58767696,23.23104949,,-5.691966516,0.370447757,,19.36118035,,40.83083326,-5.071670274,,-5.299654426
6/2/2023 9:00,9.384104061,14.63628872,80.38884721,,12.4253108,4.836333814,65.40262575,,82.74801608,52.27282309,,-5.606998626,0.895571669,,40.11273096,,79.51627921,-4.537308778,,-4.656337949
6/2/2023 10:00,20.49448912,31.6581464,121.1140697,,15.86471058,7.44479705,108.8135665,,133.6222268,146.0519703,,-5.450328189,6.307051796,,83.08892035,,107.9744272,-9.331950375,,-1.256149287
6/2/2023 11:00,36.91892526,46.52698603,73.908669,,39.03189918,21.52836386,100.9259885,,212.7271385,187.2048756,,-4.152849653,8.211825029,,52.81753533,,119.1078866,-1.686074597,,2.402540408
6/2/2023 12:00,75.26650752,46.29653402,29.410754,,42.24465811,39.14009783,31.48422717,,224.9551205,124.7029658,,11.24485711,11.09399429,,22.54033033,,56.67285891,4.297344382,,9.136278028
6/2/2023 13:00,52.52949107,5.130475303,2.693818435,,8.028041952,27.34576936,9.111329928,,3.492897554,40.6623568,,8.713977096,46.80117467,,1.701297605,,5.963523386,-0.036588665,,3.464402296
6/2/2023 14:00,26.43226472,0.656126502,-1.463908149,,-4.908295149,5.176477522,1.547289316,,2.932624238,7.242032187,,,18.57465651,,-0.810288911,,-1.022422333,-2.745019204,,2.085535196
6/2/2023 15:00,2.434951518,-2.140709216,-4.418467932,,-4.604175838,0.665347587,-0.052929925,,1.175644539,0.410087859,,-9.404718187,5.047733041,,-0.886574839,,-1.777430853,-0.765769752,,-0.950195972
6/2/2023 16:00,3.200559613,1.58693164,-0.619261731,,-1.434472422,3.635144594,-1.76327558,,1.223906558,-0.38107657,,,0.322718634,,4.062439317,,-1.029925036,,,5.03444956
6/2/2023 17:00,17.39378811,10.48507384,0.08322444,,1.126886308,14.76796475,-1.440497594,,1.218941577,4.24490617,,-11.72421701,-1.625505958,,8.435051395,,-1.504479588,,,10.80257404
6/2/2023 18:00,26.12526596,16.20398369,1.670019865,,7.673395304,19.19510071,,,-0.216048949,13.11628844,,-10.71669888,-1.645749719,,20.43673444,,,-4.169324389,,9.106667152
6/2/2023 19:00,18.65758334,13.88128397,9.978945728,,0.829725339,11.8584098,,,1.655001134,14.43935032,,-15.57274829,-2.410197508,,21.62783055,,5.145975338,-8.420155467,,0.16842804
6/2/2023 20:00,7.751236223,9.36203769,7.644472885,,1.097286743,7.634494091,2.422227758,,6.874708317,10.17243682,,-6.280137078,-2.714193448,,10.51067331,,3.883102932,-18.64216659,,0.321411916
6/2/2023 21:00,4.616810823,4.689622619,6.767745078,,-1.72170394,5.298595837,3.112013615,,4.942783337,8.53105392,,-5.758941898,-2.392370228,,6.753577198,,2.847170953,-28.73051989,,-1.033033521
6/2/2023 22:00,4.031012145,15.19840538,6.705836578,,5.114615317,5.042550882,8.567536797,,2.637264951,8.028883415,,-9.256499918,-2.832930555,,12.94737478,,9.648858672,-12.55458265,,0.785021053
6/2/2023 23:00,4.12506186,16.09059197,1.205897214,,1.998426805,24.77675996,5.745892333,,-4.1521773,8.853483729,,-11.5178158,-1.695913247,,7.076262822,,3.655735328,-16.54802724,,3.447622388
6/3/2023 0:00,0.539393539,2.912781941,-1.879658794,,-2.332449798,1.501519364,-2.859523232,,1.566446231,-0.605593618,,-12.33655712,-2.034914533,,-1.056217354,,-1.264502601,-15.00495345,,0.585931804
6/3/2023 1:00,0.482410571,2.119841157,-6.995038726,,-3.244239486,-1.240533901,1.139253396,,9.048569943,0.257865637,,-10.33876251,-1.686450445,,1.051406487,,0.051896967,-9.161214173,,-2.871865026
6/3/2023 2:00,-0.192388318,2.200207161,3.812503455,,-3.971054852,-1.551069519,5.685440307,,8.830171188,3.765097641,,-7.787150977,-2.170537387,,5.698226442,,0.771636905,-10.64186201,,-3.789345967
6/3/2023 3:00,-0.308793589,1.987682966,1.093596374,,-4.175482033,-0.861967445,6.843578579,,10.13218392,2.690117363,,-6.908424796,-2.165261085,,3.50986372,,0.80622568,-8.991093788,,-4.950016112
6/3/2023 4:00,-0.814619841,3.305110421,-6.200511324,,-3.904842017,-1.163439599,6.602723368,,9.78695188,1.992534766,,-6.380543996,-0.281000853,,0.322448307,,0.113057921,-8.328870169,,-7.054157187
6/3/2023 5:00,-1.215667857,2.58659215,-1.494533611,326.3980782,-7.311959912,-1.899208208,-3.04130974,,-0.38142459,5.160732674,,-5.780564614,-3.04182761,,0.242961319,,-3.043269731,-7.258974333,,-6.892040949
6/3/2023 6:00,-0.762161441,1.462979339,-3.239004863,288.07745,-6.468623223,-1.267782739,-0.390985061,,-0.121019127,-1.200784532,,-5.678832569,-2.998977082,,0.012873948,,-1.570370749,-7.337032228,,-6.410047476
6/3/2023 7:00,-0.570145642,2.635215905,-2.710286369,245.6860638,-5.729266839,0.716514391,-0.633444245,,0.731328881,0.032699653,,-5.907096619,-2.66765096,,-0.507855653,,-1.391271484,-9.577434179,,-7.144277552
6/3/2023 8:00,0.363831334,1.907687915,-2.249121333,210.2633309,-4.873203424,4.099986254,-1.61987542,,-0.981837387,0.739374374,,-5.672649213,-1.671621534,,-0.232003079,,-1.349379079,-9.311581034,,-6.594663498
6/3/2023 9:00,-0.297927113,1.393852215,-2.127733511,231.150159,-3.975551182,2.051503064,-1.832382197,,-0.620559327,-0.868909671,,-6.540949554,-1.57951978,,0.107055091,,-0.317198534,-9.524546598,,-3.691373168
6/3/2023 10:00,-0.868346554,1.308192407,-2.125474825,209.7730722,-3.652899219,-0.377061683,-1.032657086,,-0.809080525,0.816790846,,-5.96061419,-1.742164702,,-0.211003964,,-0.021938177,-6.622977511,,-3.212447878
6/3/2023 11:00,-0.370477474,1.349779695,-1.536010951,171.78936,-3.38203124,-0.232154202,-0.810098318,,-1.026478381,0.847305064,,-4.123989722,-1.603257663,,-0.461136777,,0.091122588,-5.967263727,,-2.72709078
6/3/2023 12:00,-0.166769177,1.054260657,0.219951518,165.5296982,-3.578589396,-0.520497678,-0.885844791,,-0.854091808,0.68326067,,-3.069323199,-1.724399986,,-0.585226816,,-0.330312965,-5.187824805,,-3.008306262
6/3/2023 13:00,1.051348179,0.943254264,3.6873793,134.7129892,-2.820354679,-0.024601317,0.566388499,,-0.503586208,1.374112031,,-2.989237277,-1.464767179,,-0.204184338,,0.199873658,-5.302493081,,-2.971357124
6/3/2023 14:00,1.35783261,1.032973985,1.671803891,133.1398725,-3.105102106,0.620008813,1.706694281,,-0.334377929,2.357749112,,-3.877389133,-1.272693398,,-0.201522043,,-0.154534604,-5.608863359,,-3.322693669
6/3/2023 15:00,1.841445591,1.702682324,1.763214777,158.0439008,-3.764506395,1.286984595,2.349662776,,0.39436928,3.560927896,,-4.244752222,-1.965945859,,0.071153942,,-0.747149823,-6.762086489,,-4.226326431
6/3/2023 16:00,1.021717214,1.135846954,1.04689539,258.1462198,-3.189316452,0.564023155,1.55445572,,1.039258705,2.247680901,,-4.068564506,-1.930934317,,-0.258431598,,-0.551010919,-7.809661942,,-4.428809897
6/3/2023 17:00,0.876475199,0.965158525,1.244663572,291.603448,-3.055894255,0.042321847,1.527248879,,0.42948289,2.118510595,,-4.879811658,-1.812539661,,-0.052997144,,-0.863132655,-8.267186254,,-4.274846342
6/3/2023 18:00,0.71052756,1.210392453,0.666947874,207.026495,-3.393356676,0.143438512,1.336907602,,0.590517477,3.150170762,,-5.659689742,-2.030450806,,0.046245285,,-1.296310407,-7.013241266,,-3.974513477
6/3/2023 19:00,0.708548814,0.883876396,-0.487513915,158.9797129,-3.248775618,-0.303701499,0.901719466,,0.661207151,1.610949495,,-5.091980912,-2.054676004,,-0.208725797,,-1.329926659,-8.351464446,,-4.178771574
6/3/2023 20:00,0.403387174,0.71723572,-1.140297419,143.0596337,-2.866285052,-0.827451989,0.189534318,,-0.057314541,0.768110645,,-6.020797239,-2.05905391,,-0.469756112,,-1.268459351,-8.799504044,,-3.859784128
6/3/2023 21:00,0.377253401,0.852624419,-0.248654488,144.585202,-3.462392072,-1.992583355,0.465797197,,0.088669839,0.854173531,,-6.17953276,-2.185919418,,-0.417266039,,-1.170558524,-6.855434457,,-4.128957837
6/3/2023 22:00,0.286066853,0.959786511,-0.741154784,179.8279869,-3.956273129,-0.562309928,0.689812739,,0.346071478,1.442149378,,-5.75301817,-1.93501322,,-0.649419834,,-1.502285787,-6.200951532,,-4.644192774
6/3/2023 23:00,0.486607316,0.758064451,-1.01359973,203.6766893,-4.099211316,1.508086661,0.928885134,,0.176518203,1.982339512,,-4.312635566,-2.534136707,,-0.89124435,,-1.71757751,-4.736089119,,-4.904797422
6/4/2023 0:00,0.338880885,0.586003124,-0.629534311,150.9997923,-3.971274583,1.289488215,0.361806552,,-0.293597203,2.130527739,,-4.104614102,-2.468848291,,-1.236585071,,-1.860111246,-4.03311346,,-4.939288162
6/4/2023 1:00,0.480247574,0.414017784,0.199443822,131.3353806,-3.217366748,1.019268194,0.722234544,,0.118253961,1.938965327,,-2.752754715,-2.929346231,,-1.034384237,,-1.392574675,-2.987415572,,-4.393506652
6/4/2023 2:00,0.120673004,0.115566486,0.919734289,124.8128172,-3.041885527,1.040831008,0.655149404,,0.276041124,3.192077689,,-2.163446856,-2.42819988,,-1.163632528,,-1.050343624,-2.845367553,,-3.866201688
6/4/2023 3:00,-0.012417829,-0.069363058,1.488525032,94.97910188,-2.272454334,0.410050815,1.106488439,,0.386418839,1.961089863,,-1.67971566,-2.102095077,,-0.631518629,,-0.436932366,-2.410807163,,-3.228034939
6/4/2023 4:00,-0.09847936,-0.124636712,1.151334626,85.83913987,-2.992782193,0.677340015,1.638882241,,0.728530966,2.225926861,,-0.901530753,-2.652109467,,-0.710639048,,-0.20862949,-1.628899549,,-3.469713116
6/4/2023 5:00,0.257161116,-0.147779089,0.461879863,86.59610119,-3.098960948,1.172295736,0.932723737,,0.205471435,1.850098818,,-0.100944504,-2.443733164,,-1.027949572,,-0.186680027,-1.931314352,,-3.409161499
6/4/2023 6:00,0.339989991,-0.096121588,0.459916373,81.45866436,-2.935194693,1.096598584,0.749869737,,-0.020375611,2.012797381,,-0.145828883,-2.511860702,,-1.043855919,,0.791120264,-2.036726199,,-3.413667323
6/4/2023 7:00,0.248242604,-0.192969795,0.182065182,79.94707048,-2.293909805,0.731294563,0.456213853,,-0.326385906,2.758881211,,-0.114636578,-2.208213423,,-1.368964378,,3.36843737,-1.356079899,,-2.290650092
6/4/2023 8:00,0.104700242,-0.106978633,1.277046852,93.07459082,-2.740894466,0.200299414,0.896331964,,-0.419051315,2.517746832,,0.130213776,-0.871696856,,-1.093626125,,5.705823596,-1.920131119,,-2.715588123
6/4/2023 9:00,0.701491296,-0.566373197,1.328469705,87.87145419,-2.141073614,1.580797368,2.288684409,,0.030229893,3.054678462,,-0.062219124,-2.38098325,,-0.899029953,,1.784241473,-2.495428756,,-1.852169753
